DEPARTAMENTO,PROVINCIA,DISTRITO,LATITUD,LONGITUD
LIMA,HUAURA,HUACHO,-11.108524,-77.6103295
LIMA,CANETE,MALA,-12.6577442,-76.6322701
LIMA,LIMA,SAN BORJA,-12.0964515,-76.9956899
LIMA,LIMA,SAN MARTIN DE PORRES,-11.9814786,-77.0963114
LIMA,LIMA,LA VICTORIA,-12.0641355,-77.0295563
LIMA,LIMA,SURQUILLO,-12.1142159,-77.010462
LIMA,LIMA,LINCE,-12.0825223,-77.0310016
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,-12.1766438,-76.9189677
LIMA,LIMA,RIMAC,-12.0266773,-77.0340939
LIMA,LIMA,LIMA,-12.0459808,-77.0305912
LIMA,LIMA,BREÃA,,
CALLAO,CALLAO,CALLAO,-12.0522626,-77.1391133
LIMA,HUAROCHIRI,HUAROCHIRI,-12.1371291,-76.2326596
LIMA,LIMA,SAN MIGUEL,-12.0727512,-77.095353
LIMA,LIMA,SANTIAGO DE SURCO,-12.1251049,-76.9821605
LIMA,LIMA,COMAS,-11.9573015,-77.049757
LIMA,LIMA,VILLA EL SALVADOR,-12.2135031,-76.9370262
LIMA,LIMA,INDEPENDENCIA,-11.9919461,-77.0503721
LIMA,LIMA,SAN JUAN DE MIRAFLORES,-12.1628581,-76.9635192
CUSCO,CUSCO,CUSCO,-13.5170887,-71.9785356
LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1116778,-79.0287742
LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.0017252,-77.0084106
LIMA,LIMA,SAN LUIS,-12.0736464,-76.9941006
LIMA,LIMA,ATE,-12.0387281,-76.896873
HUANUCO,HUANUCO,HUANUCO,-9.9293255,-76.2394845
CALLAO,CALLAO,VENTANILLA,-11.8846444,-77.1230803
LA LIBERTAD,TRUJILLO,SALAVERRY,-8.2241119,-78.9763929
ANCASH,SANTA,CHIMBOTE,-9.0744966,-78.593609
LIMA,LIMA,EL AGUSTINO,-12.0499251,-76.9987104
LIMA,LIMA,SAN ISIDRO,-12.0989209,-77.0346439
LIMA,HUARAL,HUARAL,-11.4954906,-77.207044
LIMA,LIMA,JESUS MARIA,-12.0751522,-77.043904
ANCASH,PALLASCA,BOLOGNESI,-8.3503897,-78.0506593
ICA,ICA,ICA,-14.0640967,-75.7290915
LIMA,LIMA,MAGDALENA DEL MAR,-12.0957149,-77.0682243
LIMA,BARRANCA,SUPE PUERTO,-10.8045744,-77.7429158
LIMA,LIMA,MIRAFLORES,-12.1206214,-77.0294993
TUMBES,TUMBES,TUMBES,-3.5707875,-80.4596454
LA LIBERTAD,CHEPEN,CHEPEN,-7.2285214,-79.4277749
ICA,NAZCA,NASCA,-14.8277203,-74.9370624
LIMA,LIMA,BARRANCO,-12.1496977,-77.0212908
PIURA,SULLANA,SULLANA,-4.8900643,-80.6873604
ICA,CHINCHA,CHINCHA ALTA,-13.417488,-76.1325726
LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.7716146,-79.8387175
LIMA,HUARAL,CHANCAY,-11.5627697,-77.2699958
AREQUIPA,AREQUIPA,AREQUIPA,-16.3988667,-71.5369607
LIMA,LIMA,CHACLACAYO,-11.9757399,-76.7698706
LIMA,HUAROCHIRI,MATUCANA,-11.8447264,-76.3860598
APURIMAC,ABANCAY,ABANCAY,-13.6373482,-72.8788744
LIMA,LIMA,PUEBLO LIBRE,-12.0778372,-77.062246
LIMA,BARRANCA,BARRANCA,-10.7541212,-77.7609383
CALLAO,CALLAO,LA PERLA,-12.0716034,-77.1173892
ICA,ICA,PARCONA,-14.046921,-75.6987179
LIMA,LIMA,CHORRILLOS,-12.1709478,-77.02126
